adverb	frequency
not	1714
then	1233
so	1111
now	768
up	628
even	470
out	459
down	437
thus	426
back	418
here	366
still	327
therefore	325
on	324
as	323
again	297
off	286
also	270
away	269
yet	228
once	227
there	227
never	217
home	203
ever	189
too	179
very	178
well	178
far	175
soon	168
more	159
first	158
long	158
much	152
all	146
however	144
in	136
most	128
only	127
no	125
indeed	109
over	109
just	107
round	107
forward	93
meanwhile	92
presently	91
moreover	90
together	90
longer	84
always	79
else	78
nevertheless	73
alone	68
already	68
close	68
about	66
further	66
surely	63
fast	58
enough	56
hard	52
forth	51
quite	50
right	50
straight	46
goodly	45
aloud	42
bitterly	40
heavily	40
rather	40
better	39
by	39
inside	39
hardly	37
ere	36
through	35
alike	34
furiously	34
fiercely	32
hereafter	29
matter	29
safely	29
greatly	28
aside	27
easily	27
often	27
along	26
foremost	26
behind	25
outside	24
truly	24
gladly	23
after	22
before	22
apart	21
really	21
at	20
headlong	20
ill	20
less	19
utterly	19
furthermore	17
onward	17
upstairs	17
afterwards	16
everywhere	16
high	16
near	16
richly	16
any	15
next	15
quickly	15
aloft	14
best	14
immediately	14
later	14
loudly	14
particularly	14
sorely	14
swiftly	14
beautifully	13
dearly	13
instead	13
carefully	12
continually	12
hence	12
sometimes	12
sooner	12
backwards	11
elsewhere	11
eurymachus	11
henceforth	11
instantly	11
nearly	11
onwards	11
piteously	11
wide	11
below	10
deep	10
directly	10
hitherto	10
hospitably	10
otherwise	10
plainly	10
upwards	10
afar	9
angrily	9
badly	9
closely	9
either	9
especially	9
heartily	9
heretofore	9
lately	9
quietly	9
sternly	9
thither	9
exceedingly	8
fairly	8
kindly	8
last	8
lightly	8
perfectly	8
sadly	8
abroad	7
anew	7
ashore	7
comely	7
early	7
exactly	7
fondly	7
generally	7
openly	7
perhaps	7
reasonably	7
somewhere	7
sufficiently	7
terribly	7
besides	6
desperately	6
faster	6
fearfully	6
great	6
inland	6
lustily	6
menacingly	6
possibly	6
sally	6
suddenly	6
thoroughly	6
whither	6
above	5
ago	5
ahead	5
anywhere	5
boldly	5
bravely	5
certainly	5
comfortably	5
cowardly	5
deeply	5
duly	5
equitably	5
freely	5
gently	5
ingloriously	5
lastly	5
likewise	5
nt	5
outright	5
securely	5
shortly	5
solemnly	5
straitly	5
sweetly	5
thickly	5
though	5
wisely	5
within	5
almost	4
burly	4
contumely	4
convulsively	4
elsewhither	4
firmly	4
full	4
hardest	4
it--	4
late	4
merely	4
newly	4
roughly	4
secretly	4
severally	4
silently	4
singularly	4
skilfully	4
son-	4
sorrowfully	4
soundly	4
steadily	4
vainly	4
whence	4
a	3
actually	3
around	3
cauldron	3
constantly	3
cunningly	3
deftly	3
downwards	3
fully	3
gloriously	3
half	3
happily	3
harshly	3
him--	3
hugely	3
incessantly	3
inwardly	3
loud	3
madly	3
masterfully	3
miserably	3
naturally	3
overboard	3
overhead	3
peacefully	3
pleasantly	3
pretty	3
quicker	3
righteously	3
short	3
since	3
softly	3
strongly	3
thereafter	3
therein	3
tight	3
tightly	3
twice	3
unrecorded--	3
whatsoever	3
wide-	3
accordingly	2
accurately	2
afield	2
altogether	2
antimachus	2
anxiously	2
assuredly	2
asunder	2
behold	2
brilliantly	2
cleverly	2
closer	2
confidently	2
contemptuously	2
craftily	2
delicately	2
despairingly	2
divinely	2
earlier	2
earnestly	2
evenly	2
eventually	2
excellently	2
expressly	2
exquisitely	2
