bigram	frequency
one another	160
let us	147
father jove	73
old man	69
will give	63
went back	56
every one	56
will tell	51
every man	49
king agamemnon	46
noble son	42
will go	41
ajax son	38
go back	37
one else	36
will make	35
phoebus apollo	33
bearing jove	32
will take	32
will find	32
even though	32
never yet	29
either side	27
two sons	27
come back	27
get home	27
ulysses answered	26
fell heavily	26
young men	25
good things	25
will come	25
two ajaxes	24
outer court	24
go home	24
hector son	24
brave son	22
fingered dawn	22
will now	22
pallas minerva	22
went right	21
see whether	21
blessed gods	21
made sure	21
two men	20
get back	20
come home	20
must go	19
loud cry	19
return home	19
sea shore	19
spear went	19
king alcinous	18
answered ulysses	18
whole world	18
man among	18
achaeans will	18
will bring	18
ulysses said	17
agamemnon son	17
one side	17
drew back	17
full speed	17
answered telemachus	17
much people	17
gathered round	17
right hand	17
dear son	17
still alive	17
immortal gods	16
brave man	16
may see	16
best man	16
better man	16
strong hand	16
shall take	16
long way	16
king priam	16
way home	16
went away	15
every kind	15
armour rang	15
long time	15
set sail	15
came back	15
driven back	15
looking like	15
us go	14
left behind	14
achilles answered	14
went straight	14
bad end	14
shall surely	14
goodly armour	14
fair wind	14
one man	14
may make	14
stand firm	14
among us	14
bronze point	14
cried aloud	14
now come	14
strong city	14
may learn	14
full armour	14
close combat	13
achilles son	13
come hither	13
three times	13
shall come	13
fell headlong	13
good will	13
will send	13
great jove	13
rattling round	13
another matter	13
got back	13
old woman	13
right shoulder	13
will never	13
men among	12
without ceasing	12
may take	12
grey sea	12
like honour	12
flew forward	12
dear husband	12
ever yet	12
day long	12
went round	12
mortal man	12
may know	12
scaean gates	12
rang rattling	12
may jove	12
front ranks	12
jove will	12
therefore let	12
got together	12
old friend	12
livelong day	12
will see	12
king apollo	12
minerva came	12
spear struck	12
will put	12
put heart	12
took aim	12
one hand	11
high wall	11
telemachus said	11
may go	11
two minds	11
wicked suitors	11
best men	11
agamemnon answered	11
will yet	11
wild boar	11
weeping bitterly	11
came close	11
little ones	11
high mountain	11
nine days	11
round shield	11
caught sight	11
thigh bones	11
minerva said	11
great fear	11
old age	11
replied ulysses	11
barley meal	11
getting home	11
noble achilles	11
went inside	11
take heart	11
will say	11
know whether	10
escaped death	10
tell us	10
making havoc	10
dead body	10
full length	10
will fight	10
laid low	10
single one	10
mortal men	10
shall now	10
ere long	10
may come	10
dear father	10
may heaven	10
replied telemachus	10
servant brought	10
menelaus son	10
may speak	10
till morning	10
man will	10
fleet son	10
store room	10
much hardship	10
inward meats	10
double cup	10
got home	10
many another	10
hand fight	10
king neptune	10
one day	10
went clean	10
nothing loth	10
north wind	10
learn whether	10
ulysses went	10
caught hold	10
single combat	10
drew near	10
will return	10
make trial	9
great pain	9
will get	9
good luck	9
west wind	9
valiant son	9
every quarter	9
much longer	9
every side	9
cast lots	9
nestor knight	9
much better	9
went home	9
sprang forward	9
still living	9
minerva went	9
forward nothing	9
stood still	9
full share	9
let fly	9
great deal	9
shall see	9
achaeans may	9
solemn oath	9
morrow morning	9
great hector	9
spoke first	9
still young	9
man may	9
speak even	9
murderous mars	9
shall go	9
diomed son	9
oak tree	9
due course	9
sun went	9
strong hands	9
even now	9
told us	9
wait till	9
foremost among	9
dear child	9
daughter venus	9
suffered much	9
shall give	9
shall never	9
mighty son	9
trojan women	9
give victory	9
now go	9
twelve days	9
fountained ida	9
neptune lord	9
young man	8
footed thetis	8
great grief	8
beautiful golden	8
encircling neptune	8
will show	8
silver bow	8
coming true	8
bring back	8
funeral rites	8
suitors will	8
shall fall	8
stood firm	8
noble hector	8
bronze spear	8
forty ships	8
much stronger	8
foreign country	8
mixing bowl	8
hector saw	8
high olympus	8
wild beasts	8
make haste	8
scheming saturn	8
life left	8
good friend	8
fleet horses	8
dear comrade	8
dinner ready	8
gods will	8
went close	8
lovely helen	8
long since	8
set eyes	8
will soon	8
upper servant	8
rich man	8
two heroes	8
chief men	8
dark cloud	8
came running	8
telemachus answered	8
will lay	8
minerva answered	8
swineherd eumaeus	8
shod spear	8
one moment	8
great glory	8
telemachus went	8
front rank	8
came forty	8
hard fighting	7
twelve months	7
queen penelope	7
loud voice	7
draw near	7
now left	7
went also	7
old father	7
great strength	7
noble steeds	7
black blood	7
now tell	7
doubted whether	7
just come	7
made straight	7
give way	7
water side	7
laid hold	7
think will	7
wept bitterly	7
near one	7
close behind	7
achilles will	7
great stature	7
much trouble	7
dawn appeared	7
sweet sleep	7
will also	7
tenth day	7
mighty god	7
shall pay	7
comely feet	7
long will	7
free will	7
two layers	7
among men	7
wild boars	7
poor fellow	7
menelaus came	7
dear brother	7
keen blade	7
will stand	7
know nothing	7
go straight	7
yet come	7
son telemachus	7
made fast	7
said among	7
king jove	7
grow old	7
spoke piteously	7
great ajax	7
left wing	7
ulysses will	7
right hands	7
board ship	7
tell penelope	7
go away	7
hard pressed	7
worse man	7
cease fighting	7
two spears	7
town councillors	7
great man	7
poured water	7
may get	7
back towards	7
come near	7
achaean name	7
went among	7
must take	7
brave hector	7
made towards	7
jove answered	7
gave ground	7
trojans back	7
living gods	7
penelope said	7
great wealth	7
wedded wife	7
mighty hector	7
sounding sea	7
took care	7
get away	7
turned back	7
