quadgram	frequency
the son of peleus	67
the ships of the	60
the son of tydeus	58
the son of saturn	56
ships of the achaeans	55
as he spoke he	55
to the house of	55
the son of atreus	53
the house of hades	50
of the son of	46
in the house of	36
thus did he speak	35
even so did the	35
with these words he	34
to eat and drink	31
up to him and	31
ajax son of telamon	31
as soon as they	31
as though he were	30
sons of the achaeans	30
i will tell you	30
the middle of the	28
in the middle of	28
as soon as he	26
the sons of the	26
the hands of the	25
as he did so	25
to the ships of	25
hector son of priam	24
thus did they converse	24
in front of the	23
soon as they had	23
was the first to	22
on the top of	21
heavily to the ground	21
when the child of	21
the child of morning	21
fell heavily to the	21
and the son of	21
he fell heavily to	21
enough to eat and	21
by the hand of	21
the rest of the	20
the city of priam	20
had enough to eat	19
noble son of laertes	19
lord of the earthquake	19
to him and said	19
the trojans and achaeans	19
as they had had	19
they had had enough	18
had had enough to	18
and tell me true	18
to the son of	18
when they reached the	18
but the son of	18
in the midst of	17
of gods and men	17
him of his armour	17
agamemnon son of atreus	17
at the ships of	16
though he were a	16
struck him in the	16
at the hands of	16
with might and main	16
came up to him	16
out of the fight	16
the banks of the	15
are you talking about	15
as he had said	15
soon as he had	15
with a loud cry	15
the land of the	15
the host of the	15
in the likeness of	15
so much as a	15
in the whole world	15
all held their peace	14
things that were before	14
down of the sun	14
good things that were	14
the going down of	14
going down of the	14
they came to the	14
back to the ships	14
they all held their	14
as though i were	14
was glad when he	14
in his own house	14
the good things that	14
waters of the river	14
one or other of	14
on to the ground	14
shepherd of his people	14
that were before them	14
of the race of	13
on the other hand	13
hector and the trojans	13
lay my saying to	13
host of the achaeans	13
i will give you	13
on the day when	13
when they had done	13
saying to your heart	13
the bravest of the	13
the body of patroclus	13
so that he fell	13
all that you have	13
the city of the	13
went back to the	13
at the same time	13
my saying to your	13
in the hands of	13
and lay my saying	13
the two sons of	13
make an end of	13
he were a god	13
the house of ulysses	13
the ranks of the	12
jove the lord of	12
struck him on the	12
but he did not	12
the trojans and their	12
rang rattling round him	12
he went up to	12
under cover of his	12
achilles son of peleus	12
of the trojans and	12
into the hands of	12
the thick of the	12
the midst of them	12
armour rang rattling round	12
went up to him	12
to a bad end	12
put on their armour	12
and as soon as	12
do as i say	11
you have said is	11
the point of the	11
to all the gods	11
sire of gods and	11
sacked the city of	11
jove the son of	11
into the middle of	11
the sire of gods	11
the strong city of	11
of the outer court	11
him as he fell	11
they laid their hands	11
as it were a	11
the son of menoetius	11
the middle of his	11
on the other side	11
even as i am	11
they did even as	11
for the son of	11
and his armour rang	11
at him and answered	11
his armour rang rattling	11
point of the spear	11
the brave son of	11
what are you talking	11
on to the plain	11
by the side of	11
even as he had	11
one after the other	11
there is no one	11
into the house of	11
a long way off	11
deemed it best to	10
the top of the	10
sack the city of	10
he deemed it best	10
the hand of heaven	10
and when they had	10
the face of the	10
as he fell heavily	10
and counsellors of the	10
sprang from his chariot	10
close up to him	10
these were led by	10
to go to the	10
and they did even	10
to the ground and	10
i can tell you	10
and the heart of	10
and soul into them	10
all the gods in	10
menelaus son of atreus	10
one of the bearing	10
in front of him	10
him with a spear	10
by the hands of	10
as he was coming	10
thus did he pray	10
and it shall surely	10
round him as he	10
down to the house	10
soul into them all	10
but when the sun	10
the sons of atreus	10
these words he put	10
did even as he	10
banks of the river	10
by the banks of	10
to the going down	10
that you have said	10
the wall of the	10
rattling round him as	10
him as he was	10
it shall surely be	10
go about among the	10
was the son of	10
end he deemed it	9
the way in which	9
fleet as the wind	9
as i am minded	9
all sincerity and goodwill	9
i may speak even	9
the darkness of death	9
i do not think	9
heart and soul into	9
diomed son of tydeus	9
man of the sea	9
day to the going	9
the waves of the	9
in spite of all	9
the livelong day to	9
and took his seat	9
went about among the	9
the old man of	9
some one of the	9
go to the house	9
the waters of the	9
let us all do	9
of the achaeans to	9
with all sincerity and	9
they flew forward nothing	9
all do as i	9
nestor knight of gerene	9
the side of the	9
came close up to	9
about the body of	9
and i will tell	9
peer of gods in	9
go back to the	9
as she spoke she	9
out of the house	9
the sun went down	9
speak even as i	9
go to the ships	9
the house of jove	9
may speak even as	9
the son of nestor	9
when they had made	9
in the end he	9
of achilles son of	9
fell to the ground	9
was first to speak	9
neptune lord of the	9
in my own house	9
to the place where	9
when he had thus	9
the end he deemed	9
and they flew forward	9
strip him of his	9
that i may speak	9
then he said to	9
put heart and soul	9
us all do as	9
while he was thus	9
old man of the	9
the hearts of the	9
and the other gods	9
princes and counsellors of	9
livelong day to the	9
thick of the fight	8
his spear as he	8
spear went right through	8
the city of troy	8
caught him by the	8
flew forward nothing loth	8
the lord of thunder	8
when he had got	8
and it came on	8
the house of king	8
you seem to be	8
the race of mars	8
some one or other	8
hands of the trojans	8
to jove and to	8
to the city of	8
hit him on the	8
to the sea shore	8
the end of the	8
on either side of	8
an end of you	8
when he heard this	8
would that i were	8
on the right shoulder	8
and when she had	8
the princes of the	8
then the son of	8
wall of the achaeans	8
he will give you	8
the son of scheming	8
ulysses was glad when	8
every one of them	8
and when he had	8
he led the way	8
their hands on the	8
the slayer of argus	8
and went right through	8
it came on dark	8
with a cry that	8
went to the house	8
to the immortal gods	8
to fight the trojans	8
the top of his	8
the body of his	8
for the death of	8
him on the right	8
that we may make	8
each one of them	8
the fleet son of	8
on the good things	8
laid their hands on	8
went right through his	8
he put heart and	8
the body of hector	8
as he spoke and	8
with these words she	8
as soon as i	8
the will of jove	8
have said is true	8
son of scheming saturn	8
to go to bed	8
the best of it	8
words he put heart	8
of gods in counsel	8
not one of them	8
to sack the city	8
out of the battle	8
through the livelong day	8
in your own house	8
i will give him	8
hands on the good	8
went back into the	8
princes of the achaeans	8
the first to speak	8
the hand of jove	7
him out of the	7
now that he is	7
the fury of the	7
fight with might and	7
went close up to	7
chariot to the ground	7
and all of them	7
son of saturn has	7
the cry of battle	7
honour to the achaean	7
to help the trojans	7
over all the land	7
there came forty ships	7
there was not a	7
the light of the	7
trojans and their allies	7
when they were got	7
to the achaean name	7
back to the house	7
he sprang from his	7
in the thick of	7
the horses of the	7
the way to the	7
from his chariot to	7
to himself in his	7
his chariot to the	7
that he should have	7
about among the host	7
he spoke he drew	7
after the son of	7
in the course of	7
the roof of the	7
most noble son of	7
him as though he	7
to his own country	7
in front of them	7
i am going to	7
they were got together	7
that rent the air	7
vaunted over him saying	7
i do not know	7
the place where the	7
and at the same	7
so that he could	7
the achaeans would have	7
cry that rent the	7
their wives and children	7
a shirt and cloak	7
go down into the	7
ajax son of oileus	7
and there was no	7
as though you were	7
his head and shoulders	7
and darkness was over	7
counsellors of the argives	7
in the front rank	7
went back to his	7
when the sun went	7
the place of assembly	7
as though it had	7
but as soon as	7
laid their hands upon	7
back to the city	7
it would have been	7
aldermen and town councillors	7
he was a man	7
the dead of night	7
life left in him	7
ranks of the trojans	7
stripped the armour from	7
for i want to	7
hand in his own	7
struck him with a	7
they had made their	7
he poised his spear	7
the city of ilius	7
of those who are	7
he took his seat	7
and had drunk each	7
minerva came up to	7
light of the sun	7
the other side of	7
to this you answered	7
went on board and	7
to the trojans and	7
into the heart of	7
from the house of	7
a cry that rent	7
about the return of	7
the valiant son of	7
so that all were	7
close up to the	7
that all were satisfied	7
made an end of	7
to the place of	7
the top of them	7
with him there came	7
even so did hector	7
in spite of his	7
his way to the	7
if i were to	7
him with his spear	7
noble son of atreus	7
with a spear in	7
jove and the other	7
and went back to	7
was in the house	7
the darkness of the	7
come to a bad	7
there was in the	7
in the dead of	7
as much as he	7
it is not right	7
so long as the	7
spear as he spoke	7
cover of his men	7
the ships and tents	7
by one of the	6
into a silver basin	6
they all of them	6
two layers of fat	6
for a long time	6
i were still young	6
to look upon the	6
on the benches and	6
me and tell me	6
at him and said	6
water in a beautiful	6
into the thick of	6
plainly and in all	6
the gods in heaven	6
eyes were closed in	6
thus through the livelong	6
diomed of the loud	6
things of what there	6
it into a silver	6
dread son of saturn	6
at the end of	6
even so did he	6
as he was thus	6
the trojans and lycians	6
glad when he saw	6
and she drew a	6
he was thus in	6
and every man had	6
will tell you truly	6
their hands upon the	6
by the hand and	6
on the side of	6
i am in great	6
and said among the	6
he could do so	6
it is all coming	6
hands upon the good	6
in a beautiful golden	6
lifted up his hands	6
the depths of the	6
a beautiful golden ewer	6
victory to the trojans	6
thick on one another	6
between trojans and achaeans	6
the bottom of the	6
life went out of	6
back to his own	6
so long as he	6
poised his spear as	6
when they had got	6
every single one of	6
to the host of	6
husband of lovely helen	6
the lower part of	6
man had his full	6
as regards your question	6
on the field of	6
darkness was over all	6
man after my own	6
and his eyes were	6
bethought her of another	6
the son of oileus	6
is all coming true	6
and all the other	6
about the head and	6
for the hand of	6
the son of lycaon	6
him when he was	6
and poured it into	6
it is not well	6
of the silver bow	6
the tents and ships	6
he was coming on	6
the field of battle	6
it would not be	6
of the spear went	6
down she darted from	6
with him in the	6
for he was a	6
an upper servant brought	6
and with a loud	6
every man had his	6
but i will not	6
she drew a clean	6
went about among them	6
he had thus spoken	6
in the depths of	6
the hands of ulysses	6
a clean table beside	6
a silver basin for	6
as he was minded	6
patroclus son of menoetius	6
drunk each as much	6
these were commanded by	6
himself in his dismay	6
poured it into a	6
for the loss of	6
foremost among them all	6
of the loud battle	6
this is what he	6
of the achaeans and	6
the whip and reins	6
the grey sea with	6
set out for troy	6
the waters of oceanus	6
will give you a	6
clad in full armour	6
the temple of minerva	6
young and strong as	6
for the gods are	6
that i can not	6
the shore of the	6
what there was in	6
those who were in	6
from head to foot	6
a man both brave	6
topmost summits of olympus	6
sun went down and	6
brave and of great	6
any other of the	6
armour from his shoulders	6
aimed a spear at	6
the benches and seats	6
depths of the sea	6
the son of telamon	6
each in his own	6
glad when he heard	6
when she had thus	6
both brave and of	6
you would have me	6
be the death of	6
though it had been	6
the spear went right	6
when they came to	6
still young and strong	6
have mercy upon me	6
the arts of war	6
the topmost summits of	6
were still young and	6
in the front ranks	6
said among the argives	6
and handed it round	6
had his full share	6
was thus in two	6
single one of them	6
son of atreus drew	6
and said to the	6
of what there was	6
him in the middle	6
at the sight of	6
his eyes were closed	6
the noble son of	6
and whence are you	6
out of the way	6
it will be a	6
now that you are	6
some other of the	6
drew a clean table	6
after my own heart	6
of the river styx	6
tell me and tell	6
and went to the	6
they took their places	6
face of the earth	6
back into the house	6
upon the good things	6
the fleet descendant of	6
out of the sea	6
eyes filled with tears	6
the brunt of the	6
the skin of a	6
my own part i	6
the body of the	6
and of great stature	6
any of the others	6
to a solemn covenant	6
each as much as	6
thus in two minds	6
that i were still	6
to each of them	6
put on his armour	6
when he saw him	6
for my own part	6
though i were a	6
in two layers of	6
on to the land	6
man both brave and	6
in the presence of	6
had drunk each as	6
her of another matter	6
when i was in	6
in no mind to	6
and they laid their	6
the gods in olympus	6
even so were the	6
so long as you	6
bravest of the achaeans	6
the far end of	6
put out to sea	6
so did the trojans	6
nestor son of neleus	6
went on to the	6
at the top of	6
the strong hand of	6
was over all the	6
fleet descendant of aeacus	6
i would not have	5
bringer of good luck	5
was lying upon the	5
dead and in the	5
as fast as they	5
from his chariot and	5
went in pursuit of	5
did the son of	5
of all the danaans	5
as he spoke the	5
with a loud voice	5
and town councillors of	5
came up to them	5
you have been saying	5
ere he could do	5
that have never yet	5
him with his sword	5
she darted from the	5
spears pointed at both	5
about among them and	5
he fell headlong from	5
giving every man his	5
and to the other	5
out upon the sea	5
of all those who	5
been quick to mark	5
running all round it	5
horses on and they	5
the behests of night	5
i hope you will	5
seem to be a	5
led the way and	5
form and voice of	5
will tell you all	5
in a thick cloud	5
will say what i	5
the armour from his	5
at him with his	5
that shall be born	5
jove and to the	5
ran red with blood	5
say what i think	5
is in the house	5
the place where he	5
let us go to	5
went home to bed	5
on the sea shore	5
in the sight of	5
if so be that	5
turn towards his neighbour	5
in the face of	5
even so did achilles	5
spear out of the	5
my father and mother	5
you ought not to	5
see that you are	5
goodwill addressed them thus	5
right through his chest	5
wives and little ones	5
his chariot and horses	5
but he could not	5
came to the place	5
for it will be	5
shouted to the trojans	5
the stern of the	5
each one of you	5
with your own eyes	5
fleet son of peleus	5
fleet of foot and	5
in the form of	5
with his bow and	5
every man his drink	5
as he told them	5
from the topmost summits	5
as i bid you	5
he said to his	5
down into the house	5
till they came to	5
with the voice of	5
women in the house	5
in the cause of	5
they were close up	5
middle of the assembly	5
it in mind now	5
hair that nodded menacingly	5
set sail for troy	5
on the one hand	5
was as that of	5
as he was flying	5
than any of the	5
with the flat of	5
such men as you	5
as i am that	5
took the form of	5
when the son of	5
the ghost of agamemnon	5
has been laid heavily	5
out of the water	5
in his own country	5
come down from heaven	5
other side of the	5
the black blood from	5
the firmament of heaven	5
while he was still	5
into the water and	5
with his spear and	5
before the blast of	5
but even so he	5
down upon the ground	5
i must go back	5
by the spear of	5
bear the brunt of	5
the death of his	5
shall be born hereafter	5
fell in the dust	5
thus did he vaunt	5
grey sea with their	5
peer of murderous mars	5
roof of the cloister	5
nodded menacingly above it	5
his hands as he	5
as the sun was	5
as he was turning	5
the rim of his	5
close up with one	5
said he to himself	5
strong city of ilius	5
the light of day	5
and smote the grey	5
and took their places	5
the form and voice	5
and there was a	5
to my own country	5
with all their might	5
was a man of	5
each one of the	5
too quick for him	5
if on the other	5
upon the sea shore	5
your town and parents	5
that you may learn	5
had endowed him with	5
stood up and said	5
a herd of cattle	5
of all the achaeans	5
and those that held	5
go the round of	5
he lashed his horses	5
far end of the	5
all the danaans after	5
and in the house	5
the achaeans and trojans	5
after giving every man	5
fast as he could	5
to the ships and	5
tower of strength to	5
the left wing of	5
they got there they	5
i will say what	5
and the others followed	5
of the achaeans are	5
the flat of his	5
and the darkness of	5
even in the house	5
and said to ulysses	5
make the best of	5
of the loud war	5
the mouth of the	5
been laid heavily upon	5
to the house and	5
him in the likeness	5
his hands in prayer	5
and one would turn	5
the ghost of the	5
in the darkness of	5
went out of him	5
he had done so	5
back from the ships	5
on his way home	5
to his own home	5
up out of the	5
the heart of the	5
much as he was	5
is dead and gone	5
in all the arts	5
ten talents of gold	5
the goodly city of	5
laid themselves down to	5
the others followed after	5
came running up to	5
he shouted to the	5
many good things of	5
of his dear comrade	5
you will not be	5
the doors of the	5
me on my way	5
if he were to	5
to see if he	5
