unigram	frequency
will	1503
son	1289
one	990
said	886
man	770
now	768
ulysses	726
men	703
jove	660
went	628
us	610
achaeans	609
trojans	583
shall	571
go	561
may	559
come	545
house	543
let	537
ships	521
hector	491
came	481
back	472
great	472
even	470
achilles	452
father	451
take	441
among	431
spear	430
made	425
gods	422
two	409
took	403
hand	378
see	377
fight	375
tell	351
though	347
sea	344
people	343
round	341
many	338
set	332
heaven	332
till	330
therefore	330
hands	328
still	327
like	325
much	321
way	320
home	318
minerva	313
horses	310
good	304
answered	300
ship	299
give	295
city	291
another	286
make	283
first	275
left	273
long	272
away	271
also	270
telemachus	268
king	267
saw	266
old	263
yet	263
might	258
ground	258
battle	255
spoke	254
armour	254
fell	253
day	242
suitors	242
heart	238
agamemnon	238
head	236
body	235
well	234
put	233
saying	225
got	225
know	221
time	220
never	218
god	217
say	217
killed	216
menelaus	216
brought	210
mother	210
gave	207
others	206
side	205
far	200
sons	200
ever	199
get	198
must	196
priam	194
towards	192
without	192
full	189
patroclus	184
ajax	184
chariot	184
death	182
every	181
dead	181
heard	181
hold	180
struck	177
sent	177
fighting	175
whether	174
apollo	171
soon	168
daughter	167
laid	167
stood	165
end	165
brave	164
fire	164
shield	164
noble	163
lay	163
close	161
wine	161
water	160
near	159
eyes	159
going	159
right	158
land	157
argives	157
place	157
wife	156
bronze	155
nothing	155
bring	153
blood	153
troy	152
find	152
atreus	151
women	150
fair	150
night	149
told	149
keep	148
done	147
however	146
peleus	145
wall	144
high	143
drink	141
earth	140
return	139
better	139
best	139
strong	138
stay	138
speak	138
neither	136
held	135
nestor	135
drew	135
stand	132
hear	132
mighty	131
mars	131
juno	130
words	129
country	129
bow	129
mind	129
gold	126
feet	126
either	126
fear	125
whole	125
wind	125
river	124
reached	124
young	123
behind	122
neptune	122
danaans	121
think	120
sleep	120
whereon	120
given	119
dear	119
help	118
leave	118
goddess	118
face	118
began	117
host	115
gone	115
kept	115
fall	115
life	114
angry	114
sat	112
friends	112
look	111
sprang	111
diomed	110
woman	110
hard	110
plain	109
penelope	109
indeed	109
front	109
cry	108
things	108
within	108
kill	108
taken	107
sun	107
just	107
town	106
found	106
coming	106
sheep	105
send	103
olympus	103
strength	102
sword	102
bed	102
matter	101
whose	101
ithaca	100
ilius	99
cried	99
child	98
turn	98
tydeus	97
cut	97
led	96
called	96
turned	95
longer	95
husband	95
fleet	95
room	94
arrow	94
enough	94
meanwhile	93
forward	93
alone	93
hit	93
stranger	93
live	92
presently	92
saturn	92
bore	92
aeneas	91
together	91
war	91
lying	91
honour	90
thick	90
moreover	90
seat	90
rest	89
foot	88
shoulders	87
threw	87
morning	87
gates	86
eat	86
idomeneus	86
helmet	86
looking	86
lie	86
alive	85
comrades	85
want	85
spears	84
part	84
ill	83
fast	82
little	82
raised	82
save	81
servants	81
silver	81
last	80
drive	79
always	79
sorrow	79
inside	78
else	78
hades	78
golden	78
bear	77
eumaeus	77
caught	77
point	77
rose	77
flew	77
three	77
name	76
rich	76
drove	76
bade	76
light	76
knew	75
comrade	75
fallen	74
days	74
work	74
anger	74
darkness	74
along	74
twelve	73
nevertheless	73
thought	73
none	73
sir	73
making	73
bid	72
dark	71
middle	71
lord	71
trojan	71
moment	71
poor	71
ask	70
stayed	70
children	70
brother	70
dust	70
already	69
comes	69
care	69
fly	69
island	68
immortal	68
looked	68
weeping	68
draw	67
counsel	67
voice	67
glad	66
knees	66
true	66
shore	66
top	66
show	66
helen	66
break	65
antilochus	65
tears	65
arms	65
foremost	64
filled	64
cattle	64
gathered	64
friend	64
slain	64
wounded	64
bearing	64
kind	64
reach	64
seen	64
surely	63
prayed	63
sit	63
world	63
mountain	62
straight	62
stone	62
alcinous	62
ranks	62
board	61
fury	61
servant	61
meriones	61
covered	61
goodly	61
valiant	60
taking	60
vulcan	60
replied	60
glory	60
waters	60
deep	59
antinous	59
ready	59
bound	59
swineherd	59
lion	58
fine	58
master	58
sure	58
carried	58
evil	57
lost	57
everything	57
call	57
single	57
dogs	57
word	56
hither	56
neck	56
fought	56
court	56
wound	55
mortal	55
laertes	55
escape	55
phaeacians	55
fierce	55
loud	55
meat	54
immortals	54
force	54
hero	54
sail	54
present	54
tent	54
horse	53
shoulder	53
killing	53
beat	53
pray	53
field	53
heroes	53
trouble	52
sacrifice	52
hide	52
followed	52
pylos	52
something	52
offered	52
talk	52
destruction	52
thereon	52
forth	52
born	52
fellow	52
maids	51
peace	51
argos	51
hope	51
used	51
presents	51
open	51
cup	51
sitting	51
giving	50
chest	50
quite	50
getting	50
cloud	50
flying	50
shouted	50
shirt	50
assembly	49
driven	49
mercury	49
waves	49
thetis	49
sarpedon	49
thing	49
wild	49
dinner	49
die	49
alexandrus	49
bad	49
beside	49
outside	49
nine	48
victory	48
listen	48
speed	48
lest	48
dawn	48
excellent	48
try	48
cloak	47
telamon	47
afraid	47
ida	47
seeing	47
bones	47
large	47
wish	47
door	47
grief	47
cave	47
bread	47
living	47
course	47
chariots	47
